JUNIN,12,CAJABAMBA,CAJABAMBA,SELVA,43,1,EX CONVIVIENTE,41,0,1,0,0,0,0,0,0,0,0,0
JUNIN,12,CHICLAYO,JOSE LEONARDO ORTIZ,SELVA,16,0,ENAMORADO,21,0,1,0,0,0,1,0,0,0,0,0
JUNIN,12,LIMA,LA VICTORIA,SELVA,20,0,CONVIVIENTE,22,0,1,1,0,0,0,0,0,0,0,0
JUNIN,12,VICTOR FAJARDFO,ALCAMENCA,SELVA,46,0,VECINO,40,1,1,0,0,0,0,0,1,0,0,1
LA LIBERTAD,13,CARAVELI,CHAPARRA,COSTA,22,2,CONVIVIENTE,33,0,1,1,0,0,0,0,0,0,0,0
LA LIBERTAD,13,HUARAZ,INDEPENDENCIA,COSTA,26,0,EX ENAMORADO,34,0,1,1,0,0,0,0,0,0,0,0
LA LIBERTAD,13,ICA,ICA,COSTA,33,0,CONVIVIENTE,33,0,1,1,0,0,0,0,0,0,0,0
LA LIBERTAD,13,LA CONVENCION,KIMBIRI,COSTA,19,1,CONVIVIENTE,27,1,1,0,1,0,0,0,0,0,0,0
LA LIBERTAD,13,LIMA,SAN JUAN DE MIRAFLORES,COSTA,28,4,EX CONVIVIENTE,38,0,0,1,0,0,0,0,0,0,0,0
LA LIBERTAD,13,LIMA,SAN JUAN DE LURIGANCHO,COSTA,32,3,CONVIVIENTE,45,0,1,0,1,0,0,0,0,1,0,0
LA LIBERTAD,13,MAYNAS,TORRES CAUSANA,COSTA,52,4,OTRO,32,1,1,0,0,0,0,0,0,0,0,1
LA LIBERTAD,13,YUNGUYO,YUNGUYO,COSTA,33,2,ESPOSO,35,0,1,0,1,0,0,0,0,0,0,0
LA LIBERTAD,13,YUNGUYO,YUNGUYO,COSTA,15,0,OTRO,26,1,0,0,0,0,0,0,0,0,0,1
LAMBAYEQUE,14,CALLAO,CALLAO,COSTA,73,0,OTRO FAMILIAR,18,0,0,1,0,0,0,0,0,0,0,0
LAMBAYEQUE,14,OTUZCO,USQUIL,COSTA,18,1,CONVIVIENTE,25,0,1,0,1,0,0,0,0,0,0,0
LAMBAYEQUE,14,OTUZCO,SINSICAP,COSTA,47,5,OTRO,34,0,1,0,0,0,0,0,0,0,0,1
LIMA,15,AREQUIPA,CERRO COLORADO,COSTA,30,3,CONVIVIENTE,38,0,1,0,0,0,0,0,1,0,0,0
LIMA,15,CAJAMARCA,BAnOS DEL INCA,COSTA,46,0,EX CONVIVIENTE,46,1,1,0,0,0,0,0,0,0,0,1
LIMA,15,CALLAO,CALLAO,COSTA,18,0,VECINO,36,1,1,1,0,0,0,0,0,0,0,0
LIMA,15,CALLAO,CALLAO,COSTA,36,2,CONVIVIENTE,38,1,1,0,0,0,0,0,0,0,0,1
LIMA,15,CANCHIS,SICUANI,COSTA,27,0,CONVIVIENTE,35,1,0,0,0,0,0,0,0,0,0,1
LIMA,15,CANETE,SAN ANTONIO,COSTA,18,0,ENAMORADO,24,0,0,1,0,0,0,0,0,0,0,0
LIMA,15,CARABAYA,AJOYANI,COSTA,32,0,PAREJA SEXUAL,35,0,1,1,1,0,0,0,1,0,0,0
LIMA,15,CHANCHAMAYO,CHANCHAMAYO,COSTA,40,4,ESPOSO,45,0,1,0,0,1,0,0,0,0,0,0
LIMA,15,CHEPEN,PACANGA,COSTA,70,0,OTRO,36,0,1,0,0,0,0,0,1,0,0,1
LIMA,15,CHINCHEROS,ANCO HUALLO,COSTA,26,2,EX CONVIVIENTE,37,0,1,1,0,0,0,0,1,0,0,0
LIMA,15,CHOTA,QUEROCOTO,COSTA,22,1,VECINO,30,0,1,0,0,0,0,0,0,0,0,1
LIMA,15,CONTRALMIRANTE VILLAR,ZORRITOS,COSTA,20,3,CONVIVIENTE,30,0,1,1,0,0,0,0,0,0,0,0
LIMA,15,CUSCO,CUSCO,COSTA,17,0,ENAMORADO,26,0,1,0,0,0,0,0,0,0,0,1
LIMA,15,CUSCO,SAN SEBASTIAN,COSTA,19,0,DESCONOCIDO,21,1,0,0,0,0,0,0,0,0,0,1
LIMA,15,DATEM DEL MARAnON,MANSERICHE,COSTA,25,4,CONVIVIENTE,35,0,1,0,0,0,1,0,0,0,0,0
LIMA,15,DATEM DEL MARAnON,BARRANCA,COSTA,28,2,ESPOSO,41,0,1,0,0,0,0,0,1,0,0,0
LIMA,15,HUALGAYOC,HUALGAYOC,COSTA,26,2,CONVIVIENTE,31,0,1,1,0,0,0,0,0,0,0,0
LIMA,15,HUAMANGA,CARMEN ALTO,COSTA,21,3,EX CONVIVIENTE,31,0,1,0,0,0,0,0,1,0,0,0
LIMA,15,HUANCABAMBA,HUARMACA,COSTA,31,2,CONVIVIENTE,40,1,1,0,0,1,0,0,0,0,0,0
LIMA,15,HUANCAVELICA,HUANCAVELICA,COSTA,82,0,VECINO,72,1,1,0,1,0,0,0,0,0,0,0
LIMA,15,HUANCAYO,CHILCA,COSTA,22,0,EX ENAMORADO,29,0,1,1,0,0,0,0,0,0,0,0
LIMA,15,HUANUCO,PILCOMARCA,COSTA,21,0,CONVIVIENTE,28,0,0,1,0,0,0,0,0,0,0,0
LIMA,15,LA CONVENCION,ECHARATI,COSTA,52,1,VECINO,22,0,0,1,0,0,0,1,0,0,0,0
LIMA,15,LAURICOCHA,JIVIA,COSTA,37,2,CONVIVIENTE,40,1,1,0,0,0,0,0,0,0,0,1
LIMA,15,LIMA,LURIGANCHO,COSTA,24,0,EX CONVIVIENTE,28,1,0,1,0,0,0,0,0,0,0,0
LIMA,15,LIMA,EL AGUSTINO,COSTA,23,1,PAREJA SEXUAL,24,1,0,0,1,0,0,0,0,0,1,1
LIMA,15,LIMA,SANTA ANITA,COSTA,21,0,EX ENAMORADO,26,0,0,1,0,0,0,0,0,0,0,0
LIMA,15,LIMA,LOS OLIVOS,COSTA,20,0,EX CONVIVIENTE,30,0,0,0,0,0,0,0,1,0,0,1
LIMA,15,LIMA,COMAS,COSTA,23,0,AMIGO,36,0,0,0,0,0,0,0,1,0,0,0
LIMA,15,LIMA,ATE,COSTA,25,1,AMIGO,45,0,0,0,0,0,0,0,1,0,0,0
LIMA,15,LIMA,SAN BORJA,COSTA,32,0,PAREJA SEXUAL,33,0,1,0,0,1,0,0,0,0,0,0
LIMA,15,LIMA,SANTA ANITA,COSTA,36,2,EX ENAMORADO,52,0,1,1,0,0,0,0,0,0,0,0
LIMA,15,LIMA,CARABAYLLO,COSTA,27,1,PROGENITOR DE SU HIJO,23,0,0,0,0,1,0,0,0,0,0,0
LIMA,15,LIMA,PUENTE PIEDRA,COSTA,29,1,CONVIVIENTE,47,0,1,0,0,1,0,0,0,0,0,0
